Day,Ticket,Assignee,Status,Problem,Approach,Observations
8,TICKET-ADV111,Lavinia31,Completed,"Vite path aliases need to work at runtime and in the editor","Added missing frontend/jsconfig.json mirroring vite.config.js's alias map; added /stream proxy rule for the future SSE feed","Used relative paths in jsconfig.json instead of the deprecated baseUrl: '.'; verified in the running dev server, not just that it compiles"
8,TICKET-ADV112,Lavinia31,Completed,"Block protected pages from rendering when the user isn't logged in","Built withAuth(Component) HOC checking AuthContext's user, redirecting to /login otherwise; finished AuthContext (sessionStorage-backed) and apiService's authHeaders()/request() helpers","Confirmed in a real browser: empty sessionStorage always lands on /login; manually seeding the token unlocks the pages"
8,TICKET-ADV113,Lavinia31,Completed,"A render-time throw unmounts the whole tree to a blank screen","Filled in withErrorBoundary's getDerivedStateFromError/componentDidCatch/render, with a role=alert fallback and a Try again button that resets the error state","Verified with a Playwright script forcing Dashboard to throw; fallback rendered correctly and Try again re-attempts the render"
8,TICKET-ADV114,Lavinia31,Completed,"Need one reusable sortable/paginated table instead of one-off tables per page","Filled in DataTable.Header/Body/Pagination as a controlled compound component sharing state via context","Existing RTL test had empty TODO assertions; wrote a throwaway test with 5 real assertions to actually prove the behaviour, then deleted it (ADV125's job to keep)"
8,TICKET-ADV115,Lavinia31,Completed,"Need a reusable WebSocket hook with automatic reconnect","useWebSocket keeps socket/retry counter/timer in refs; exponential backoff capped at 30s; resets retry counter on successful reopen","No real backend WS endpoint yet; verified against a local Node WS test server driven by Playwright, then removed the harness. Noted StrictMode + lazy routes double-open on mount in dev only"
8,TICKET-ADV116,Lavinia31,Completed,"Need an SSE hook for the live trade feed capped at 200 rows","useTradeStream opens EventSource against /api/v1/trades/stream, prepends new trades immutably, caps at 200","No real backend SSE endpoint yet; verified against a local Node SSE test server (needed CORS header) via Playwright, then removed the harness"
8,TICKET-ADV117,Lavinia31,Completed,"Search box shouldn't fire an API call per keystroke","useDebouncedSearch settles the value after a pause; also wired the actual data fetch into Trades.jsx (apiService.listTrades) since nothing else owned it","Verified with Vitest fake timers; wiring the real fetch surfaced a pre-existing backend LazyInitializationException on GET /v1/trades (tracked in day05/TICKET-ADV063.md) - frontend degrades to empty state correctly on that 500"
8,TICKET-ADV118,Lavinia31,Completed,"Need infinite scroll without polling window.onscroll or recreating the observer per render","useInfiniteScroll splits the loadMore callback (kept fresh via a ref) from the IntersectionObserver (created once); cleanup disconnects it","jsdom can't run IntersectionObserver; verified with Playwright wrapping the real constructor to count create/disconnect calls. Same StrictMode double-create-on-mount caveat as ADV115"
8,TICKET-ADV119,Lavinia31,Completed,"Trades page re-renders every row on any unrelated state change","New TradeRow.jsx: React.memo with a custom equality on id/status/price/onClick only","Found and fixed a real bug along the way: a literal <tr>/<td> inside DataTable's grid <div> is invalid HTML; fixed with <span style='display:contents'>. Verified render counts with a temporary counter, removed after"
8,TICKET-ADV120,Lavinia31,Completed,"Dashboard recomputes portfolio value on every render","Wrapped only portfolioValue in useMemo([trades]); left matched/breaks as plain filters, matching the ticket's own guidance against over-memoising cheap calculations","Verified with a mocked stable trades reference (flat count across unrelated re-renders, +1 on real change) and manually against a live SSE test server"
8,TICKET-ADV121,Lavinia31,Completed,"ADV119's memo never actually holds because onClick is a fresh arrow every render","Added useCallback-wrapped handleSelect in Trades.jsx, swapped inline row markup for <TradeRow>","Confirmed via render counters that both rows stop re-rendering on unrelated clicks once the handler identity is stable"
8,TICKET-ADV122,Lavinia31,Completed,"All pages bundled eagerly; Suspense fallback was plain 'Loading…' text","Added PageSkeleton.jsx (shimmer bars) as the Suspense fallback; removed the unused .loader CSS class - lazy()/Suspense wiring itself already matched the ticket's reference","Verified against a production build; found react-router v7 skips the fallback on in-app <Link> navigation (only shows on direct URL load) - not a bug, documented for later"
8,TICKET-ADV123,Lavinia31,Completed,"/trades/new needs client-side validation before hitting the network, with correctly-typed numbers","Filled in the Yup schema for every AddTrade field; kept tradeDate as a string (not yup.date()) to match the backend's LocalDate wire format; implemented api.createTrade","Verified against the real backend: empty submit fires 0 requests with 6 alerts; valid submit sends real numbers (not strings); confirmed RHF stays uncontrolled while typing"
8,TICKET-ADV124,Lavinia31,Completed,"Need a light/dark toggle where React only owns which theme is active","ThemeProvider reads localStorage first, falls back to prefers-color-scheme for first-time visitors; one effect writes data-theme and persists the choice; added the toggle button","Verified with Playwright across separate browser contexts for OS light/dark defaults, plus persistence across reload"
8,TICKET-ADV125,Lavinia31,Completed,"No test proves Dashboard's summary cards render correctly through the provider chain","Dashboard.test.jsx with a renderWithProviders helper (Auth/Theme/Router), role-based queries, one numeric assertion","Hit a real jsdom gap: window.matchMedia is undefined, crashing anything wrapped in ThemeProvider; fixed with a small polyfill in the shared test-setup.js"
8,TICKET-ADV127,Lavinia31,Completed (optional),"ADV119+ADV121 were implemented but never actually measured before/after","Temporarily reverted the useCallback fix, added a render counter, measured, then restored both files to their committed state","Render counts: both rows re-rendered on every click before the fix (climbing every time), zero re-renders after - confirmed both via Playwright scripted counts and the real React DevTools Profiler"
8,PR #24 (not merged),Lavinia31,Closed - not merged,"GET /v1/trades throws LazyInitializationException, blocking real end-to-end testing of ADV117/119/121","Opened fix/trade-eager-fetch: switched Trade.instrument/counterparty from FetchType.LAZY to FetchType.EAGER","pshavela closed the PR without merging - correctly flagged as a quick hack for testing, not the right fix. Real fix (reading lazy relations inside the service layer's transaction) still pending from him; see tracking-progress/day08/NOTE-lazy-init-blocker-resolved.md"
