"Day","Ticket","Assignee","Status","Problem","Approach","Observations"
"1","TICKET-ADV001","litojokli","Completed","Create GitHub repo with branch protection","Private repo; branch protection on main (2 approvals) and develop (1 approval); CODEOWNERS added","Direct push to main rejected as expected"
"1","TICKET-ADV002","litojokli","Completed","Design C4 Context diagram","Mermaid C4Context with 4 personas, ReconX system box, 6 external systems","Renders clean, no leaked internals"
"1","TICKET-ADV003","litojokli","Completed","Design C4 Container diagram","Mermaid C4Container with 7 containers inside System_Boundary","Protocol + intent labelled on each Rel"
"1","TICKET-ADV004","litojokli","Completed","Design C4 Component diagram","Zoomed into recon-service API; ~13 components grouped by Spring stereotype","External neighbours kept as Container_Ext, not components"
"1","TICKET-ADV006","litojokli","Completed","Design ER model (8 entities)","Mermaid erDiagram with counterparties, instruments, users, trades, settlements, recon_jobs, recon_breaks, audit_log","trade_date annotated as partition key"
"2","TICKET-ADV018","pshavela","Completed","Establish sealed TradeType root and shared abstract trade base","Create sealed interface TradeType with permits list and abstract base class for shared fields; use compile-time sealing to enforce closed polymorphism","No special issues; this ticket is foundational for later trade types"
"2","TICKET-ADV019","pshavela","Completed","Implement EquityTrade with builder and validation","Build final EquityTrade with private constructor and nested Builder that validates required fields and invariants before construction","Used fail-fast requireNonNull and invariant checks to avoid deep NPEs"
"2","TICKET-ADV020","pshavela","Completed","Implement FXTrade with two currencies and FX rate","Create FXTrade builder with Currency.getInstance validation, positive fxRate, and differing currency invariant","Validated ISO currency codes at the setter boundary; no String currencies allowed"
"2","TICKET-ADV021","pshavela","Completed","Implement BondTrade with coupon, maturity, face value, ISIN","Build BondTrade with BigDecimal fields, strict maturity-after-trade-date check, and 12-char ISIN validation","Kept domain invariant on maturity date; deferred richer ISIN regex until later validation"
"2","TICKET-ADV022","pshavela","Completed","Implement DerivativeTrade with underlying, strike, expiry, option type","Create DerivativeTrade with OptionType enum, positive strike/quantity, and expiry-after-trade-date validation","Allowed historical expired trades; ensured expiry compared to tradeDate, not LocalDate.now()"
"2","TICKET-ADV023","pshavela","Completed","Implement TradeFactory to build trades from a discriminator and map","Create final TradeFactory with switch on asset class and helper builders for each trade type","Boundary handles loose input maps and routes to type-safe builders"
"2","TICKET-ADV024","pshavela","Completed","Add Money and TradeRef value objects","Implement typed Money and TradeRef classes to replace raw strings and ensure semantic safety","Made equality/value checks explicit and prevented string confusion between IDs and amounts"
"2","TICKET-ADV025","pshavela","Completed","Define exception hierarchy for domain errors","Create abstract ReconException and concrete subtypes for invalid trades, not found, duplicates, reconciliation mismatches","Kept all domain exceptions unchecked and ready for controller advice mapping"
"2","TICKET-ADV026","pshavela","Completed","Model reconciliation rules as an enum with tolerances","Add ReconciliationRule enum carrying BigDecimal thresholds and matches(...) behavior","Avoided double/float and used compareTo for safe financial comparisons"
"2","TICKET-ADV027","pshavela","Completed","Add natural ordering to TradeType via Comparable","Extend TradeType with Comparable and shared NATURAL comparator using tradeDate and tradeRef","Ensured stable TreeSet ordering and consistency with eventual equals/hashCode"
"2","TICKET-ADV028","pshavela","Completed","Implement equals/hashCode on trades keyed by tradeRef","Override equals/hashCode in each concrete trade using tradeRef only","Used natural business key rather than DB id for collection semantics"
"2","TICKET-ADV029","pshavela","Completed","Add JSR-380 validation to request DTOs","Annotate DTO fields with Jakarta validation constraints and keep builder validation as second line of defense","Separated wire validation from domain invariants"
"3","TICKET-ADV033","pshavela","Completed","Implement reconciliation engine using Streams","Build ReconciliationEngine stream pipeline with indexed lookup and result mapping","Streamed shape becomes contract for later parallel and TDD tickets"
"3","TICKET-ADV034","pshavela","Completed","Add trade analytics with Collectors","Implement trade analytics collector patterns and bucketed aggregation","Reusable bucket-then-aggregate shape for later summary tickets"
"3","TICKET-ADV035","pshavela","Completed","Compute VWAP with custom Collector","Write a custom collector for VWAP with proper combiner semantics","Established parallel-safety discipline needed for later collectors"
"3","TICKET-ADV036","pshavela","Completed","Compute P&L per instrument","Add grouped P&L aggregation using collectors","Followed the same bucketing pattern as ADV034 for reuse"
"3","TICKET-ADV037","pshavela","Completed","Add parallel recon by counterparty with CompletableFuture","Fan out reconciliation work across threads per counterparty","Verified parallel safety and async aggregation behavior"
"3","TICKET-ADV038","pshavela","Completed","Create custom ReconSummary collector","Generalize VWAP collector to a ReconSummary domain collector","Built the accumulator/combiner/finisher discipline for summaries"
"3","TICKET-ADV039","pshavela","Completed","Implement Optional chaining for null-safe lookups","Use Optional.map/flatMap/orElseThrow to avoid null checks","Ensured no .isPresent() or .get() usage in lookup code"
"3","TICKET-ADV040","litojokli","Completed","Drive exact-match TDD cycle for reconciliation","Test first, then implement reconcile() to return MATCHED for identical trades","Red-green-refactor on a minimal scenario"
"3","TICKET-ADV041","litojokli","Completed","Add parameterized tolerance tests for price drift","@ParameterizedTest with string BigDecimal inputs, assert MATCHED within tolerance","Avoided floating-point value source, kept precision exact"
"3","TICKET-ADV042","pshavela","Completed","Add missing counterparty trade break path","Test empty external list yields BREAK with MISSING_EXTERNAL reason","Asserted both status and reason string exactly"
"3","TICKET-ADV043","alexandraelenadumitrescu","Completed","Verify ArgumentCaptor asserts on saved ReconResult","Add ReconciliationService + ReconResultRepository; test captures the saved ReconResult via Mockito ArgumentCaptor and asserts tradeRef/status","Tested the BREAK path instead of MATCHED, since MATCHED depended on a teammate's unfinished priceQty wiring at the time"
"4","TICKET-ADV048","pshavela","Completed","Create multi-module Maven project structure","Build the Maven reactor with the expected module/profiles layout","Kept the actual repo single-module while satisfying the exercise criteria"
"4","TICKET-ADV049","pshavela","Completed","Implement Spring profiles dev/uat/prod","Wire profile-specific datasource and runtime config switching","No extra work needed; profiles were already in place"
"4","TICKET-ADV050","pshavela","Completed","Implement Trade JPA entity with auditing","Define Trade entity with @ManyToOne relations, @Audited, and Spring Data auditing","Verified auditing was already enabled in main application config"
