tradeRef,instrumentId,counterpartyId,quantity,price,currency,side,tradeDate
MON-48147694-6383,6,8,8.0273,417.7658,GBP,SELL,2026-05-24
ZMK-94191548-5677,6,8,40.0862,433.9131,JPY,SELL,2026-06-23
HDH-09224207-9724,14,8,98.4188,260.9148,GBP,BUY,2026-05-26
NPG-37846891-6445,6,1,86.2665,214.8821,EUR,SELL,2026-05-24
WUC-14815770-3008,15,1,85.5859,81.1402,USD,BUY,2026-05-24
BTC-98926082-2317,4,6,22.8610,284.4389,GBP,SELL,2026-05-27
ANG-40724245-1655,7,6,34.1718,198.6284,CHF,BUY,2026-06-04
WHT-05406287-1514,3,5,70.8089,485.8403,GBP,SELL,2026-05-28
QQW-48477157-6143,7,4,55.1616,278.2410,GBP,BUY,2026-06-06
PLC-31526497-7707,12,2,74.5391,95.9519,USD,SELL,2026-05-24
FGQ-65358482-5683,4,2,37.2155,266.7894,GBP,SELL,2026-06-29
RDW-83125807-4886,5,5,57.7466,194.2120,EUR,SELL,2026-06-18
LYU-20443566-1198,8,1,9.7253,91.1874,CHF,SELL,2026-05-19
SBO-90161799-5353,1,5,16.7336,327.5642,EUR,BUY,2026-06-11
PKD-47944633-9938,15,3,27.2910,22.1389,EUR,BUY,2026-06-01
UMV-19088391-2518,11,9,8.3886,79.6725,GBP,SELL,2026-05-29
LCM-84928232-9308,7,7,70.5145,309.6935,GBP,BUY,2026-05-26
NZM-73888962-7391,3,9,56.4124,482.6782,CHF,BUY,2026-05-24
UQZ-15777400-9497,11,3,31.6875,16.0115,CHF,BUY,2026-05-14
RHX-97655572-0762,15,4,38.1559,41.9669,JPY,SELL,2026-05-23
KSJ-82811249-6062,10,8,63.3060,164.3385,CHF,BUY,2026-05-27
TXC-20534894-1279,14,7,79.7540,47.1378,USD,BUY,2026-06-01
RGU-94672345-5985,9,5,10.4633,46.3119,CHF,SELL,2026-05-28
EJD-67909833-1811,13,4,84.4418,409.4669,JPY,SELL,2026-05-20
FXH-76912639-9754,8,10,78.6370,35.2338,USD,SELL,2026-05-24
KLM-08453945-1285,15,2,49.7023,409.3137,JPY,BUY,2026-05-27
WCE-12557963-3282,7,10,68.3173,447.4564,EUR,SELL,2026-06-24
OAU-40492561-6761,12,8,15.4903,157.8635,JPY,BUY,2026-06-28
HEG-15430650-1003,14,7,83.1592,166.6458,CHF,SELL,2026-06-16
VJW-18431120-5539,12,3,99.9439,16.8952,GBP,BUY,2026-05-17
TGK-76114122-0129,10,6,88.0653,77.6011,USD,SELL,2026-05-28
ZOQ-21543686-1071,13,5,49.7827,82.9987,JPY,SELL,2026-05-27
SYY-66245371-5630,10,7,32.6076,37.1428,JPY,BUY,2026-06-06
PCW-63281102-1131,13,8,29.1093,54.3413,EUR,BUY,2026-05-23
DZW-95411929-1524,11,4,55.8818,57.0122,GBP,SELL,2026-05-23
OGA-31803743-0625,12,10,94.3175,383.2260,USD,BUY,2026-05-21
VDO-80583147-8146,6,6,68.2085,394.2505,USD,SELL,2026-06-20
TCF-08626979-2203,3,4,85.6983,492.0793,USD,BUY,2026-05-23
EZV-81586696-6282,10,3,71.3516,109.2923,JPY,SELL,2026-05-30
ZLW-59197429-1908,8,3,6.4266,282.4308,CHF,BUY,2026-05-17
HUR-68789344-8769,2,7,29.2323,140.6408,USD,SELL,2026-06-01
HHW-01988748-8321,2,10,45.3596,439.1061,GBP,BUY,2026-06-03
IAI-71954113-7181,2,1,43.0769,23.0404,CHF,SELL,2026-06-06
