tradeRef,instrumentId,counterpartyId,quantity,price,currency,side,tradeDate
FXT-03356886-4506,4,4,1396.24,86.48,USD,BUY,2026-06-01
SPT-04265799-0488,2,4,2327.38,483.6,EUR,BUY,2026-06-16
SPT-29587039-7359,10,5,4049057.98,85.195,EUR,BUY,2026-06-28
SPT-45667651-4552,3,4,9572.17,272.59,EUR,BUY,2026-04-08
FXT-48181396-5635,10,5,4037570.08,106.892,EUR,BUY,2026-04-07
FXT-74093639-4803,14,10,8854632.03,58.30846,JPY,BUY,2026-06-30
FXT-06150444-3733,13,5,9852229.99,136.95211,USD,BUY,2026-04-08
OTC-60855700-5977,3,6,3553.35,537.79,EUR,BUY,2026-06-05
EQT-71691040-4010,3,8,3795.17,791.67,EUR,BUY,2026-06-25
SWP-07507864-3752,14,1,8050652.96,64.60555,JPY,BUY,2026-02-24
SWP-28538251-8179,7,8,1429.57,116.01,GBP,SELL,2026-05-30
SPT-78320463-6543,6,4,9973.26,114.97,USD,SELL,2026-01-24
TRD-14716857-2504,11,3,3962476.03,97.6648,USD,BUY,2026-04-09
SPT-79978790-7668,9,5,9710.81,689.32,CAD,BUY,2026-06-24
FXT-91497616-8797,13,5,7686218.73,54.88995,USD,SELL,2026-04-22
EQT-60897765-0053,12,5,4859721.61,107.8589,GBP,BUY,2026-06-10
OTC-85758349-8317,10,4,772667.95,107.8753,EUR,BUY,2026-06-03
SWP-65579548-0319,2,6,8787.34,666.17,EUR,SELL,2026-03-03
TRD-32329237-9295,2,2,7319.34,653.74,EUR,BUY,2026-02-02
DER-73793389-2705,5,9,8724.46,341.39,USD,BUY,2026-05-19
FIX-95690391-5107,7,6,4381.56,416.47,GBP,BUY,2026-03-05
FIX-08593410-5539,1,10,5539.66,472.81,EUR,BUY,2026-01-19
TRD-30728046-1104,15,1,8596494.37,11.98758,USD,BUY,2026-03-13
DER-28754377-8834,3,10,5762.54,198.18,EUR,SELL,2026-04-15
FIX-12660194-1588,11,7,1777944.86,97.3331,USD,BUY,2026-06-22
FXT-08135295-6596,12,6,4004956.63,88.2781,GBP,BUY,2026-02-18
DER-18814949-6912,3,5,4626.82,700.22,EUR,BUY,2026-04-24
FXT-06789850-8856,14,1,9689993.58,148.27026,JPY,BUY,2026-02-12
SPT-65181648-7886,4,7,9024.53,135.89,USD,BUY,2026-04-10
OTC-61070189-4673,7,9,6619.05,391.9,GBP,BUY,2026-03-17
FIX-07849494-9489,12,9,314178.28,94.4081,GBP,BUY,2026-05-30
DER-67491435-8701,3,1,9607.83,68.69,EUR,BUY,2026-01-18
FXT-90625494-3853,7,2,9416.02,457.89,GBP,BUY,2026-06-08
FXT-56267415-9562,10,9,1588685.53,92.823,EUR,SELL,2026-03-03
OTC-53121477-2144,11,5,2291550.62,112.8705,USD,BUY,2026-01-03
DER-83370583-9224,2,2,5376.81,407.18,EUR,BUY,2026-03-31
FXT-32787299-6054,5,3,4382.41,436.86,USD,SELL,2026-06-06
TRD-89639081-9086,5,2,9389.36,111.76,USD,BUY,2026-01-28
EQT-36553958-4616,10,4,3590884.81,91.1079,EUR,SELL,2026-05-10
DER-33704923-0832,2,7,8293.65,40.05,EUR,SELL,2026-02-03
OTC-21687165-7239,9,7,5609.51,93.94,CAD,BUY,2026-05-20
TRD-49555330-9543,9,3,4298.44,38.25,CAD,SELL,2026-01-11
SWP-28195995-4088,11,2,1774856.39,101.7965,USD,SELL,2026-06-08
EQT-31774346-2662,13,3,8814280.63,4.64847,USD,SELL,2026-04-16
FIX-35810056-2608,13,2,3826034.68,6.86883,USD,SELL,2026-02-26
FIX-61780854-5728,5,4,2230.01,529.73,USD,SELL,2026-03-26
OTC-09317495-4573,6,9,3997.38,785.01,USD,SELL,2026-01-08
FXT-35059710-2925,10,5,200903.41,102.8971,EUR,SELL,2026-03-22
SPT-81363974-8379,2,7,8995.15,156.11,EUR,BUY,2026-04-22
TRD-69782527-8821,11,4,1827465.14,87.0992,USD,SELL,2026-06-09
SWP-89038359-2041,12,5,2540541.3,105.0068,GBP,SELL,2026-04-14
OTC-74411983-2085,4,7,6649.63,306.42,USD,BUY,2026-06-07
OTC-54502486-8977,14,1,3039445.62,34.1821,JPY,SELL,2026-04-30
DER-59345683-3501,9,8,7937.56,768.07,CAD,BUY,2026-06-18
FXT-38089166-8445,11,10,1682589.39,109.5527,USD,BUY,2026-06-22
OTC-30150759-3262,3,1,463.09,787.23,EUR,BUY,2026-04-27
SPT-84525678-9431,4,7,4944.28,198.97,USD,BUY,2026-01-28
SPT-29372360-2881,13,9,4646034.3,89.49474,USD,BUY,2026-04-27
EQT-62363359-8702,9,10,3173.66,605.42,CAD,SELL,2026-06-06
SPT-73534128-7305,15,3,7436810.77,76.31564,USD,SELL,2026-03-05
OTC-69967676-7939,11,4,1380241.26,87.3245,USD,SELL,2026-03-02
OTC-45076693-5238,15,9,806696.0,24.72732,USD,SELL,2026-06-27
EQT-94813972-3505,2,7,4076.59,436.38,EUR,SELL,2026-01-16
FIX-56390708-6381,15,10,9460674.27,3.81144,USD,SELL,2026-05-03
